"filename","ID","date","n.scans","max.TIC","m.Nio_0U","sd.Nio_0U","se.Nio_0U","rse.Nio_0U","m.Nio_13C","sd.Nio_13C","se.Nio_13C","rse.Nio_13C","m.ratio","sd.ratio","se.ratio","rse.ratio","SNL","rse.snl"
"mixed.Cyano_Phytane_1","MEP","24/07/2019",11958,10403943,21103.0009373315,2051.96431188112,18.7646526060428,0.889193563596345,1367.23218623596,141.487529577091,1.29386477397719,0.946338732369406,0.0647958586698248,0.00249193385744468,2.27880538084596e-05,0.351689973345038,0.255200351722202,1.37809360751928
"mixed.Cyano_Phytane_2","MEP","25/07/2019",11896,8244683.5,20813.7365101156,2144.54097516999,19.6622797501123,0.944678037052898,1350.93028763243,146.672957842962,1.34477483166585,0.995443542851226,0.0649164367413233,0.00252529051090784,2.31531917788785e-05,0.356661470362869,0.257417833135766,1.38553520561554
"mixed.Cyano_Phytane_3","MEP","26/07/2019",11777,7324991.5,20541.9822854079,2210.87842558602,20.3726500042111,0.991756770167352,1334.1411039753,151.11855195134,1.39251680798857,1.04375526984314,0.064957511338263,0.00257635514613139,2.37404196772017e-05,0.365476127211442,0.260342929299597,1.40382582386503
"mixed.Halo_Phytane_1","MVA","24/07/2019",9457,2930407.5,14169.6928351874,2350.40134268723,24.1693701006736,1.70570882388177,936.127297924412,160.373322013062,1.64913204549849,1.76165362248805,0.0660785044455578,0.00315037357100949,3.23955502450721e-05,0.490258526837011,0.347014631949396,1.412789207426
"mixed.Halo_Phytane_2","MVA","25/07/2019",9730,2603935.5,14113.7114378816,2600.69607289101,26.3653281922211,1.86806484660412,934.925518543649,175.921486677132,1.78345627566932,1.90759182447757,0.0662698670211121,0.00316465749294463,3.20826544428566e-05,0.48412130407076,0.342360016443603,1.41407080505416
"mixed.Halo_Phytane_3","MVA","26/07/2019",9368,2469531.8,14184.5166574177,2456.57320443336,25.3808562477829,1.7893352914856,940.236625586048,166.43746754008,1.71960087745653,1.82890224722389,0.0663198831911411,0.00317679851073337,3.28220898052549e-05,0.494905723984135,0.347932386099373,1.42241925085636
"mixed.Std_Phytane_1","syn","24/07/2019",11589,5256768,18289.4068955207,2712.59263910068,25.1977404108794,1.37772321184733,1204.1914735545,184.111682606186,1.71024514261712,1.4202435245359,0.0658511210921866,0.0027253942449693,2.53166567335407e-05,0.384452934341076,0.276360163296558,1.39113007372385
"mixed.Std_Phytane_2","syn","25/07/2019",10918,4131489.5,18433.7680027255,2733.05128185717,26.1562955337492,1.41893374864444,1216.46490202757,184.99461276994,1.77046577789568,1.45541870952851,0.0660104438658871,0.00273577839892491,2.6182395036694e-05,0.396640190602089,0.28330579360252,1.40004263788046
"mixed.Std_Phytane_3","syn","26/07/2019",10798,4142175.5,18716.0653913992,2605.53050298559,25.0740507335341,1.33970736953381,1232.89313769267,176.76599164589,1.70108906321141,1.37975385798235,0.0658902945810808,0.00271341597081422,2.61122752680949e-05,0.396299264316729,0.282955706896722,1.40056996433501
